,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2341,BARCELONA,REAL MADRID,1-3,1-1,7.4,4.8,8.4,52,48,2.0,4.0,10.0,4.0,7.0,16.0,89.0,7.0,12.0,11.0,3.0,0.0,0.0,4.0,9.0,15.0,2.0,7.0,9.0,88.0,7.0,20.0,13.0,2.0,0.0,0.0,1,3,3,1,2020
2342,OSASUNA,ATHLETIC,1-0,0-0,3.3,6.2,5.8,40,60,3.0,2.0,7.0,2.0,2.0,14.0,68.0,36.0,29.0,18.0,3.0,0.0,0.0,4.0,5.0,13.0,4.0,5.0,39.0,76.0,29.0,10.0,10.0,2.0,0.0,0.0,1,0,0,1,2020
2343,SEVILLA FC,EIBAR,0-1,0-1,3.1,6.6,6.6,71,29,14.0,3.0,21.0,4.0,13.0,37.0,86.0,12.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,16.0,69.0,29.0,33.0,12.0,3.0,0.0,0.0,0,1,1,0,2020
2344,ATLETICO MADRID,REAL BETIS,2-0,0-0,5.5,7.1,5.7,40,60,6.0,6.0,13.0,1.0,8.0,15.0,76.0,16.0,21.0,19.0,2.0,0.0,0.0,3.0,3.0,12.0,6.0,5.0,18.0,87.0,13.0,10.0,12.0,0.0,0.0,1.0,2,0,0,2,2020
2345,VALLADOLID,ALAVÉS,0-2,0-0,4.2,5.0,7.0,44,56,3.0,1.0,5.0,1.0,2.0,34.0,71.0,15.0,15.0,9.0,1.0,0.0,1.0,8.0,4.0,14.0,2.0,4.0,23.0,78.0,26.0,13.0,7.0,0.0,0.0,0.0,0,2,2,0,2020
2346,CÁDIZ CF,VILLARREAL,0-0,0-0,1.8,6.1,6.5,23,77,4.0,1.0,5.0,1.0,0.0,24.0,65.0,15.0,21.0,15.0,2.0,0.0,0.0,3.0,2.0,7.0,2.0,5.0,20.0,88.0,14.0,17.0,7.0,2.0,0.0,0.0,0,0,0,0,2020
2347,GETAFE,GRANADA,0-1,0-1,2.9,4.9,6.4,65,35,3.0,1.0,10.0,6.0,6.0,38.0,69.0,35.0,9.0,19.0,4.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,24.0,44.0,37.0,36.0,23.0,2.0,0.0,0.0,0,1,1,0,2020
2348,REAL SOCIEDAD,HUESCA,4-1,1-0,5.5,7.3,4.9,52,48,6.0,6.0,13.0,1.0,4.0,24.0,80.0,17.0,8.0,12.0,2.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,30.0,77.0,18.0,12.0,11.0,1.0,0.0,0.0,4,1,1,4,2020
2349,LEVANTE,CELTA,1-1,0-0,3.9,6.5,6.4,59,41,4.0,3.0,10.0,3.0,3.0,20.0,80.0,8.0,13.0,11.0,2.0,0.0,0.0,3.0,3.0,11.0,5.0,2.0,27.0,70.0,10.0,19.0,19.0,2.0,0.0,0.0,1,1,1,1,2020
2350,EIBAR,CÁDIZ CF,0-2,0-2,3.7,5.0,7.3,73,27,5.0,3.0,9.0,1.0,7.0,33.0,82.0,30.0,9.0,10.0,1.0,0.0,0.0,2.0,4.0,6.0,0.0,2.0,27.0,46.0,25.0,29.0,10.0,1.0,0.0,0.0,0,2,2,0,2020
2351,REAL MADRID,HUESCA,4-1,2-0,6.1,7.5,5.3,59,41,3.0,6.0,13.0,4.0,6.0,28.0,89.0,4.0,11.0,16.0,0.0,0.0,0.0,6.0,2.0,9.0,1.0,3.0,14.0,86.0,8.0,15.0,9.0,2.0,0.0,0.0,4,1,1,4,2020
2352,ATHLETIC,SEVILLA FC,2-1,0-1,5.7,6.1,5.5,46,54,4.0,5.0,16.0,7.0,6.0,33.0,77.0,14.0,9.0,17.0,5.0,0.0,0.0,3.0,3.0,7.0,1.0,1.0,15.0,82.0,18.0,14.0,19.0,5.0,0.0,0.0,2,1,1,2,2020
